train_id,name,item_condition_id,category_name,category_name 1,category_name 2,category_name 3,category_name 4,category_name 5,brand_name,price,high_priced,shipping,item_description,has_offer
47,Brandy Melville Off Shoulder Crop Top,2,Women/Tops & Blouses/Blouse,Women,Tops & Blouses,Blouse,,,Brandy Melville,21,0,0,brandy melville off shoulder crop top. one size fits all. euc. 3/4 sleeves. 100% rayon. actual color: navy blue and cream in stripes.,0
48,Lululemon wunder under crop,3,"Women/Pants/Capris, Cropped",Women,Pants,"Capris, Cropped",,,lululemon athletica,54,0,0,"perfect condition! super comfy, let me know if you have any questions! *let me know if you want any more pictures *please ask for a measurement of you are not sure about your size *bundle discount (: * *usually ship in the same day if purchased on monday - saturday post office hours â€¢â€¢any issues after purchase... please contact me as soon as you have found the issue. your satisfaction is my concern.â€¢â€¢",1
49,Younique 3d fiber lash mascara,1,Beauty/Makeup/Eyes,Beauty,Makeup,Eyes,,,Unknown,9,0,1,younique 3d fiber lash mascara will quickly become your favorite mascara... it will increase your lashes by 300%... brand new in package never been opened or used.. free shipping ships within 24hrs,0
50,Michael Kors CrossBody,2,Women/Women's Handbags/Messenger & Crossbody,Women,Women's Handbags,Messenger & Crossbody,,,Michael Kors,114,1,0,sz large color black like new 100% authentic,0
51,Led kids shoes size 3 and size 9,1,Kids/Girls (4+)/Shoes,Kids,Girls (4+),Shoes,,,Unknown,36,0,0,"led shoes for kids, seven colors in one shoes, red, blue, green, purple, turquaz, yellow, white, and 6 different flashlight options. sizes are available, unisex sizes boys or girl. available sizes are from 10 to 3",0
52,Hot Wheels-Super Tuners Car Set,1,Vintage & Collectibles/Antique/Collectibles,Vintage & Collectibles,Antique,Collectibles,,,Unknown,28,0,0,"bundle for ""carl's collectibles"". year: 2000 mattel, inc. bundle: elvis ""favorite cars"" collection and vintage hot rids by hot wheels.",0
53,PINK by Victoria's Secret lace bandeau,2,Women/Underwear/Bras,Women,Underwear,Bras,,,PINK,7,0,0,victoria's secret pink white/cream colored lace strapless bandeau. size small. it doesn't have a specific cup size. message me with questions!,0
54,"Rae Dunn ""HUGS"" Mug",1,Home/Kitchen & Dining/Coffee & Tea Accessories,Home,Kitchen & Dining,Coffee & Tea Accessories,,,Rae Dunn,21,0,0,"new 2017 rae dunn holiday ""hugs"" mug. another great holiday mug. keep or give to someone special. we pack with care and ship promptly. please inspect your order when delivered. help complete your order by rating transaction.",0
55,Vintage wood jewelry lot,3,Vintage & Collectibles/Jewelry/Brooch,Vintage & Collectibles,Jewelry,Brooch,,,Unknown,5,0,1,"all are made out of wood. necklace, earrings broach.all sold together.",0
56,New Josie Maran Divine Drip,1,Beauty/Skin Care/Face,Beauty,Skin Care,Face,,,Sephora,14,0,0,new pure honey 5oz,0
57,Infantino Baby Carrier,3,Kids/Gear/Backpacks & Carriers,Kids,Gear,Backpacks & Carriers,,,Infantino,7,0,1,great condition! no stains or tears super easy to use ! by infantino brand ! purchased at target free shipping:),0
58,New yokai watch backpack,1,Kids/Gear/Backpacks & Carriers,Kids,Gear,Backpacks & Carriers,,,Unknown,10,0,0,new,0
59,HV-900 sports Bluetooth headset,1,Electronics/Cell Phones & Accessories/Headsets,Electronics,Cell Phones & Accessories,Headsets,,,Unknown,12,0,1,new hv-900 sports sweatproof wireless bluetooth 4.0 stereo headsets earphone,0
60,1/4 ct Diamond Engagement Ring!,3,Women/Jewelry/Rings,Women,Jewelry,Rings,,,Unknown,119,1,0,this is a very beautiful diamond engagement ring size 7 with a thicker band than most solitaires. reasonable offers accepted!,1
61,NWT Lularoe OS French bulldog leggings,1,"Women/Athletic Apparel/Pants, Tights, Leggings",Women,Athletic Apparel,"Pants, Tights, Leggings",,,Unknown,50,0,1,"brand new with tag and bag. french bulldog leggings. hard to find this color background. super soft!! made in vietnam. as always, free shipping. check out my other listings for bundling.",0
62,High waist Levi jeans,2,Women/Athletic Apparel/Shorts,Women,Athletic Apparel,Shorts,,,Levi'sÂ®,12,0,1,"distressed levi high waist jeans. size xs, 12 slim in kids size",0
63,Highwaist Distressed Denim Shorts,2,Women/Athletic Apparel/Shorts,Women,Athletic Apparel,Shorts,,,Hollister,12,0,1,highwaist distressed denim shorts size 3 the shorts i wear in most of my images,0
64,Patagonia Fleece Jacket,3,Men/Coats & Jackets/Fleece Jacket,Men,Coats & Jackets,Fleece Jacket,,,patagonia,36,0,0,men's xxl in good condition minor mark on sleeve,0
65,New Holiday BARBIE,1,Kids/Toys/Dolls & Accessories,Kids,Toys,Dolls & Accessories,,,Barbie,13,0,0,brand new,0
66,Silver choker Italy 925,3,Women/Jewelry/Necklaces,Women,Jewelry,Necklaces,,,Unknown,15,0,1,"signed italy and 925 necklace vintage, lobster claw closure 16 inches long",0
67,H&M Women's Long Horse Sweater,2,Women/Sweaters/Crewneck,Women,Sweaters,Crewneck,,,H&M,16,0,0,"-size xs (fits long), or s (fits medium length) -rarely worn, great condition -no flaws -selling b/c i just don't wear it -35% cotton, 37% viscose, 18% polyamide, 10% angora -retail [rm]",0
68,(M) Under Armour half zip jacket!,2,Women/Athletic Apparel/Jackets,Women,Athletic Apparel,Jackets,,,Under Armour,45,0,0,under armour half zip jacket in awesome like new condition! size med.,0
69,Iphone 6/6s marble design case,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Electronics,Cell Phones & Accessories,"Cases, Covers & Skins",,,Unknown,5,0,1,"â�•please check size before orderingâ�• â�•â�•â�•if you have no ratings contact me after you purchase or i will cancelâ�•â�•â�• â�ºï¸�provides great protection from scratches and drops! â�ºï¸�price is extremely firm. all offers will be ignored â�ºï¸�brand new in factory sealed packaging! â�ºï¸�will be shipped out asap â�ºï¸�check out my page for different colors, and a large variety of cases! â�ºï¸�allow 1-2 days for tracking to update!!",1
70,Adidas Ultraboost Shoes,3,Women/Shoes/Athletic,Women,Shoes,Athletic,,,Adidas,61,0,0,overall good condition. a few signs of wear,0
71,Partners In Crime Necklace ShipfromChina,1,Women/Jewelry/Necklaces,Women,Jewelry,Necklaces,,,Unknown,4,0,1,"""fine or fashion: fashion item type: necklace chain length: 60 + 5 cm ""shipping from china,competitive price, shipping takes about 15 days~",0
72,Listing for Aknuckles1,1,Home/Home DÃ©cor/Home Fragrance,Home,Home DÃ©cor,Home Fragrance,,,Nostalgia Electrics,35,0,0,"warmers pictured & 6 sample packages of highly scented wax melts nib full sizeâ  flameless electric scented wax melt/tart/essential oil warmer lamp candle burner with 25 watt bulb included! guaranteed superior quality, safe durable craftsmanship, affordable home fragrance solutions ~3.5 ft cord has on/off switch. ~ amazing scent throw quickly releases aroma ~ doubles as night light. ~ perfect addition to every room in your home, dorm, business, waiting area, farm, house,â  ranch, cabin, ~ huge selection for personal and individualized themes / decor / decorating styles. ~ compatible with any brand scented wax melts tarts ie. scentsy bbw bath and body works yankeeâ  pink zebra bed bath beyond vs ~ comes with 3 sample pkgs high quality scented wax melts ( scents listed on profile page ) additional melts can be added to order @ [rm] per 1.7 to 2 oz regular package please ask before ordering :) ~ please visit us again by following our page :)",0
73,Toddler Vineyard Vines Hat,3,Kids/Boys 0-24 Mos/Accessories,Kids,Boys 0-24 Mos,Accessories,,,Unknown,14,0,0,probably best for up to a 2 year old.,0
74,Rae Dunn Beauty and the Beast,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Home,Kitchen & Dining,Coffee & Tea Accessories,,,Rae Dunn,26,0,0,brand new! no cracks or chips! i package everything with extra care! not responsible for item once shipped,0
75,Littlest pet shop accessories for Bon,3,Kids/Toys/Dolls & Accessories,Kids,Toys,Dolls & Accessories,,,Littlest Pet Shop,12,0,1,these are on hold do not buy :),0
76,Black & Burgundy Bikini Bottoms,1,Women/Swimwear/Two-Piece,Women,Swimwear,Two-Piece,,,Unknown,17,0,0,"both are a chinese size medium which fits a us size xs. both are brand new, never worn, did not come with a sanitary liner. black ones are more cheeky then the burgundy ones. will sell separately",0
77,Aura Fluorite Double Terminated Wand,1,Home/Home DÃ©cor/Other,Home,Home DÃ©cor,Other,,,Unknown,19,0,1,"aura fluorite: â‹… the ""protection stone"" â‹… grounding â‹… spiritualizing â‹… intuition â‹… the stone to look for when wishing to connect with the spirit details: â‹… 4 3/4"" â‹… pure aura fluorite â‹… cleansed and charged â˜† have a blessed day ~ tags: witchcraft , witch , altar , crystal , wiccan , wicca , pagan , witchcraft artifact , witchcraftartifact , chakra",0
78,Trump Shirt,3,Men/Tops/T-shirts,Men,Tops,T-shirts,,,Unknown,9,0,0,worn once; will be washed before sent,0
79,Sea wees size 0,3,Kids/Girls 0-24 Mos/Shoes,Kids,Girls 0-24 Mos,Shoes,,,Sea Wees,14,0,0,great condition sea wees size 0 brown,0
80,Maternity top bundle,3,Women/Maternity/Tops & Blouses,Women,Maternity,Tops & Blouses,,,Motherhood Maternity,16,0,0,sheer black flowy top with cute flower design. ties at the back or front. size medium. great used condition.,0
81,*Hold*FREE TODAY-IT COSMETICS CC HOLD,1,Beauty/Makeup/Face,Beauty,Makeup,Face,,,Sephora,14,0,1,new without original packaging. shade is medium it cosmetics by jamie kern. full size container. 10 ml shade is medium. cc+ eye full coverage cream color corrector correcting cream. if you are looking for certain brands or products...and don't have time for meandering through all my products...search for my products using the search function. in the search space above type in plussizemakeup this will bring up all of my listings so you can search my listings...you can even refine your search by category and brands!! #plussizemakeup,0
82,Mascara Bundle,2,Beauty/Makeup/Eyes,Beauty,Makeup,Eyes,,,Unknown,9,0,1,5 mascaras loreal covergirl rimmel maybelline,0
83,Eyebrows Essential Kit MEDIUM; Brown,1,Beauty/Makeup/Eyes,Beauty,Makeup,Eyes,,,Unknown,6,0,1,"eyebrows essential kit â  everything you need to create perfect eyebrows packed in one convenient package. with easy to follow directions, it enables you to have the natural looking brows without harsh line that enhance your features. brows â essential kit consists of : 1 eyebrow powder 3 eyebrow stencils in thin, natural and thick, 1 eyebrow brush applicator used to apply the eyebrow powder precisely to the desired effect.",0
84,Women's Espresso Pink Coral shirt XL,3,Women/Tops & Blouses/T-Shirts,Women,Tops & Blouses,T-Shirts,,,Unknown,10,0,0,extra large shirt with purple beaded flower design. size extra large.,0
85,VS PINK sheet Set,3,Home/Bedding/Sheets & Pillowcases,Home,Bedding,Sheets & Pillowcases,,,Unknown,18,0,0,"hot pink/reddish sheet set from victoria's secret pink store. in good condition, some fading from washing but fully intact. includes flat sheet and two pillow cases, no fitted sheet! design is white hearts with light pink cheetah print trim. fits queen sized bed!",0
86,Jillian Michaels bodyshred Fitness DVD,1,Sports & Outdoors/Exercise/Fitness technology,Sports & Outdoors,Exercise,Fitness technology,,,Unknown,39,0,0,"this boxed set of 12 dvdâ€™s includes the fitness guide, meal plan, and rotational calendar. the dvdâ€™s include: fire up, ignite, launch, rise, amplify, escalate, conquer, triumph, zenith, and apex. includes bonus dvd opus and the cast & moves disc. original dvds sealed in box. ships out within 24 hours ignore: insanity p90x work out workout abs muscles bodyshred",0
87,Melissa and Doug folding go kitchen,3,Kids/Toys/Dress Up & Pretend Play,Kids,Toys,Dress Up & Pretend Play,,,Melissa & Doug,34,0,0,used but still a great play item.,0
88,Misty tentacruel foil pokemon card,3,Vintage & Collectibles/Trading Cards/Animation,Vintage & Collectibles,Trading Cards,Animation,,,Pokemon,3,0,1,i have 2 available,0
89,Nike boy sneakers,3,Kids/Boys (4+)/Shoes,Kids,Boys (4+),Shoes,,,Nike,28,0,0,size 6y. high tops. super light. in good condition. worn for 1 basketball season. don't fit my sin anymore.,0
90,Jewel holder,2,Home/Storage & Organization/Jewelry Boxes & Organizers,Home,Storage & Organization,Jewelry Boxes & Organizers,,,Target,7,0,1,no description yet,0
91,Goosebumps HorrorLand DS Game,3,Electronics/Video Games & Consoles/Games,Electronics,Video Games & Consoles,Games,,,Nintendo,10,0,0,good used condition. ask about bundling to save.,0
92,Silver jeans size 11,3,Women/Jeans/Boot Cut,Women,Jeans,Boot Cut,,,Silver Jeans Co.,16,0,0,"distressed with holes. great shape well taken care of! fits a size 11, perfect for spring summer and fall!",0
93,Crimson Tide Alabama T-shirt,3,Sports & Outdoors/Fan Shop/NCAA,Sports & Outdoors,Fan Shop,NCAA,,,Unknown,10,0,0,"size m (8), cuffs show wear and letters are not peeling off it came like that.",0
94,Hatchimals Draggle,1,Kids/Toys/Electronics for Kids,Kids,Toys,Electronics for Kids,,,Spin Master,150,1,1,bnip vhtf! hottest toy of the season!,0
95,Gap canvas shoes {size 8},3,Kids/Girls 2T-5T/Shoes,Kids,Girls 2T-5T,Shoes,,,Gap,9,0,1,"babygap canvas army green gently loved, lots of life left no holes throw in the wash & hang dry, or wipe them clean. girl or boy, my son wore these with khakis to church",0
96,Luminess Air Airbrush Makeup System,1,Beauty/Makeup/Face,Beauty,Makeup,Face,,,Unknown,81,0,1,"bought off groupon and they charged me for 2, sent 2, and they won't return one even though it was a system error! it's still new and completely sealed. the second picture shows everything that's in it and the regular cost. it also comes with a how-to dvd. i ordered the ""medium shade"" as well. comes with 4 different shades ""to find your perfect match"", a face primer, a brightening color, and blush. you can buy different shades off their website too.",0
97,iPhone 5S Mickey ear case,2,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Electronics,Cell Phones & Accessories,"Cases, Covers & Skins",,,Unknown,9,0,1,bling mickey ear case!! just used one for a disney trip! received many compliments!! bling ears! super cute! 3 stones missing to be exact but barely noticeable :) comes with strap for neck!,0
98,Gucci,3,Men/Men's Accessories/Watches,Men,Men's Accessories,Watches,,,Unknown,49,0,0,rose gold bezel and crown engraved logo red and green signature band unisex no box,0
99,Size 6 Watercolor Inspire Crop,3,"Women/Athletic Apparel/Pants, Tights, Leggings",Women,Athletic Apparel,"Pants, Tights, Leggings",,,Lululemon,44,0,0,"watercolor inspire crop. no pilling or stickiness whatsoever. some of the pink has bled into the white part of the waistband, not noticeable from a distance. 22"" inseam. rip tag still intact, size 6.",0
100,Muscle t-shirt,3,Women/Tops & Blouses/T-Shirts,Women,Tops & Blouses,T-Shirts,,,Unknown,12,0,0,"what goes better with summer than tacos & tequila? chill out with friends sporting this great beachwear cover or wear as a stand alone with that oh so sexy bralette or bikini top! don't forget your cool shades! great condition! worn once, no stains, holes, rips or treats.",0
101,Rock Revival 24 Bootcut,3,Women/Jeans/Boot Cut,Women,Jeans,Boot Cut,,,Rock Revival,66,0,0,any questions please ask! price is firm,0
102,Black Boho Floral Embroidered Maxi Dress,2,Women/Dresses/Knee-Length,Women,Dresses,Knee-Length,,,Unknown,29,0,0,size medium in perfect condition,0
103,kids adidas,1,Kids/Boys 2T-5T/Shoes,Kids,Boys 2T-5T,Shoes,,,Unknown,36,0,0,size 13 kids brand new. paid [rm] firm on the price of [rm]. dont comment lower prices or free shipping,0
104,Picture frame,2,Home/Home DÃ©cor/Home DÃ©cor Accents,Home,Home DÃ©cor,Home DÃ©cor Accents,,,Unknown,14,0,0,"everything is in perfect condition tags: heaven, family, love, picture",0
105,Leather Fossil Wallet,3,Women/Women's Accessories/Wallets,Women,Women's Accessories,Wallets,,,Fossil,10,0,0,"genuine leather, good preowned condition, does need new zipper pull on back. smoke free home",0
106,Floral two Piece tracksuit set,1,Women/Athletic Apparel/Tracksuits & Sweats,Women,Athletic Apparel,Tracksuits & Sweats,,,Adidas,41,0,1,cute boutique brand suit. floral print . polyester & spandex material under brand for viewing,0
107,Boots NWT 6.5,1,Women/Shoes/Boots,Women,Shoes,Boots,,,Merona,13,0,1,merona short boot new with tag size 6.5 come just above ankle taupe color,0
108,New Duck Boots sz.7.5,1,Women/Shoes/Boots,Women,Shoes,Boots,,,Boulevard Boutique,38,0,0,"new duck boots sz.7.5 stock up on these trendy boots great for fall/winter, can be fold down to make shorter.!!! boutique forever brand",0
109,Rose Gold Necklace with Silver Studs,2,Women/Jewelry/Necklaces,Women,Jewelry,Necklaces,,,Unknown,16,0,0,brand new,0
